"Seat","Primary Votes","ALP","LIB","NXT/SA BEST","GRN","OTHER","3CP","ALP","LIB","NXT/SA BEST","2PP","Party 1","Votes","Party 2","Votes"
"ADELAIDE","","18.9598103809","40.9496242809","19.3642341675","17.0757099725","3.65062119814","","31.1999859018","43.4500708593","25.3499432389","","ALP","46.790708948","LIB","53.6540110102"
"BADCOE","","25.6854311496","31.2993277438","25.0734973082","13.0945706878","4.84717311057","","35.9052815056","33.7276898471","30.3670286473","","ALP","54.400131085","LIB","45.599868915"
"BLACK","","25.4044086962","32.8300139317","26.1930670432","10.2519122939","5.32059803501","","33.0983957092","35.4736881456","31.4279161452","","ALP","51.8693330776","LIB","48.6140463291"
"BRAGG","","11.3452708763","52.0673738615","22.2533549867","11.289131332","3.04486894355","","18.3217316928","54.4130562874","27.2652120198","","LIB","60.2187030545","NXT/SA BEST","40.1746514749"
"CHAFFEY","","12.9307618837","36.8370422222","38.2816612448","3.73669276841","8.21384188096","","16.4036750325","40.2974021463","43.2989228212","","LIB","44.8279507721","NXT/SA BEST","55.442302872"
"CHELTENHAM","","37.8392028108","21.2360291044","24.8258474991","9.11255575619","6.98636482955","","46.1060087753","23.8248170287","30.069174196","","ALP","52.9067179866","NXT/SA BEST","46.5274826452"
"COLTON","","22.3208824634","41.569004915","23.7453770472","8.49942817021","3.86530740415","","28.7121993493","43.6857693874","27.6020312632","","ALP","44.5211178659","LIB","55.4788821341"
"CROYDON","","40.7314622074","19.945180417","21.4291894271","12.1783218931","5.71584605543","","51.035719307","22.1658816784","26.7983990146","","ALP","58.8834096202","NXT/SA BEST","41.1165903798"
"DAVENPORT","","20.4058783409","32.0929148219","31.0166842439","10.7168363878","5.76768620561","","28.4339434772","34.7967869599","36.7692695629","","LIB","42.7578401023","NXT/SA BEST","57.2421598977"
"DUNSTAN","","18.4930041122","42.274193952","21.4507947976","14.0689519229","3.71305521527","","28.0217563591","44.5937395758","27.3845040651","","ALP","44.8609608322","LIB","55.6288924571"
"ELDER","","20.6649014708","34.3430877568","27.8450164966","12.5460882888","4.60090598703","","29.0416427136","36.9062881794","34.052069107","","LIB","45.2072716701","NXT/SA BEST","53.7928318729"
"ELIZABETH","","40.3698043299","15.7510004403","26.2691594531","5.78485040873","11.8251853679","","48.6586794421","19.455393385","31.8859271729","","ALP","54.0569689856","NXT/SA BEST","45.3035151439"
"ENFIELD","","32.7481137943","27.3979123104","23.6034731394","10.4911280194","5.75937273651","","41.7020001825","29.8182377127","28.4797621048","","ALP","59.6594568607","LIB","40.8249768099"
"FINNISS","","13.2540967873","35.0517410317","37.4942697936","7.89857426146","6.30131812599","","18.1248811731","37.9070672016","43.9680516254","","LIB","42.4619172031","NXT/SA BEST","57.5380827969"
"FLINDERS","","11.0853507871","48.2772430813","28.4412006404","4.74377500972","7.45243048152","","14.6524893584","52.1188262152","33.2286844264","","LIB","56.6684254075","NXT/SA BEST","43.5743705383"
"FLOREY","","34.1084501025","22.7394843503","27.5330892989","7.59457920326","8.02439704508","","41.6145929545","25.9041550758","32.4812519697","","ALP","49.5128374309","NXT/SA BEST","50.4757287764","IND HOLD ASSUMED"
"FROME","","20.557174487","36.7384159556","29.933362569","3.98192742724","8.78911956118","","25.0087436963","40.0753725125","34.9158837911","","LIB","47.2673600035","NXT/SA BEST","52.7082857003","IND HOLD ASSUMED"
"GIBSON","","19.131455645","37.6174356017","26.5116338328","12.2146693273","4.52480559318","","27.5463665533","40.2118983044","32.2417351424","","LIB","48.0953724809","NXT/SA BEST","52.3578182067"
"GILES","","31.204796372","23.4490471701","34.3080959651","3.43536043187","7.60270006098","","35.3055159235","26.0642139713","38.6302701051","","ALP","42.973255919","NXT/SA BEST","56.3530034513"
"HAMMOND","","14.9496317434","39.7475191128","30.845633139","4.75127802906","9.70593797578","","19.8814350174","43.5183536836","36.600211299","","LIB","49.20032943","NXT/SA BEST","51.1455799159"
"HARTLEY","","20.7330639954","36.5178657942","28.2750550933","9.64243768273","4.83157743434","","27.6639658185","39.2385336236","33.0975005579","","LIB","47.5963974826","NXT/SA BEST","52.8515531698"
"HEYSEN","","9.85233266286","33.3646685317","36.6283854904","15.0260945769","5.12851873804","","18.0320076353","36.0297576418","45.9382347228","","LIB","39.9111322041","NXT/SA BEST","60.0888677959"
"HURTLE VALE","","32.5196385583","25.4744805004","26.7777250691","7.2114359313","8.01671994091","","39.8237923556","28.1754174762","32.0007901682","","ALP","47.4691586071","NXT/SA BEST","51.9915613677"
"KAURNA","","34.5780096816","21.1513943604","26.5534333034","9.47664898093","8.24051367364","","43.6304908132","24.0367258904","32.3327832964","","ALP","49.6593332331","NXT/SA BEST","49.7598197739"
"KAVEL","","11.8717128709","33.786614184","35.7817139655","12.2734390485","6.28651993113","","18.8667022673","36.9507659467","44.1825317859","","LIB","41.3663106843","NXT/SA BEST","58.6336893157"
"KING","","27.0990062873","30.9496824333","27.2325566932","6.38725884869","8.33149573746","","33.4681730937","34.1969273499","32.3348995564","","ALP","51.8796027741","LIB","48.1203972259"
"LEE","","29.5924127446","33.5435205876","25.1195971258","6.506345544","5.23812399804","","35.4702499415","35.8332045369","28.6965455215","","ALP","52.6926784726","LIB","47.7489509728"
"LIGHT","","28.0795710084","27.6201637016","26.9907886843","7.6149174069","9.69455919879","","35.8653923938","30.9762632388","33.1583443674","","ALP","43.1191418935","NXT/SA BEST","56.3565753953"
"MACKILLOP","","11.8187885686","48.5073216278","27.4803780635","3.56088698198","8.63262475814","","15.1054220884","52.45185548","32.4427224316","","LIB","57.1380580644","NXT/SA BEST","42.7856362464"
"MAWSON","","19.6122856952","30.5684392919","31.2394990561","11.8577824809","6.7219934759","","27.4903112158","33.3656140398","39.1440747444","","LIB","40.606007945","NXT/SA BEST","58.3940936099"
"MORIALTA","","15.5144409952","36.7209255313","32.7525993941","9.4481471092","5.56388697022","","21.3863201355","39.5908044962","39.0228753683","","LIB","45.5678110079","NXT/SA BEST","54.7804762085"
"MORPHETT","","21.6684159537","41.0421031399","23.2796459646","9.82710095205","4.18273398971","","29.0126356768","43.2782488502","27.7091154731","","ALP","45.3672521156","LIB","54.6327478844","IND HOLD ASSUMED"
"MOUNT GAMBIER","","16.2437185963","35.6512112477","32.9492551699","5.81967925502","9.3361357311","","21.5786829688","39.4589885112","38.9623285201","","LIB","45.9551054547","NXT/SA BEST","54.0448945453","IND HOLD ASSUMED"
"NARUNGGA","","15.1066787534","40.566910465","32.5534195235","2.98292232568","8.79006893231","","18.6161233735","43.8878302566","37.4960463699","","LIB","48.8825069922","NXT/SA BEST","51.0800249354"
"NEWLAND","","24.0770875232","30.1814774807","30.4028451138","7.43502555241","7.90356432987","","30.7240157648","33.343925692","35.9320585432","","LIB","42.2725988537","NXT/SA BEST","56.6824044336"
"PLAYFORD","","37.7090571827","22.2978385735","23.8529221819","7.10233749575","9.03784456607","","45.0607340791","25.7383729225","29.2008929984","","ALP","54.3092991008","NXT/SA BEST","45.6907008992"
"PORT ADELAIDE","","36.1915252333","19.8928976639","27.091143154","10.50096851","6.32346543884","","45.5191220754","22.0846442355","32.396233689","","ALP","50.7825952978","NXT/SA BEST","48.6156432333"
"RAMSAY","","43.0303443","14.5765347789","25.0225654103","5.55179742747","11.8187580833","","51.0629251689","18.0147143219","30.9223605092","","ALP","56.704775623","NXT/SA BEST","42.6561809168"
"REYNELL","","35.5679920462","18.4607832447","27.0530315224","9.58917891362","9.32901427308","","45.284706556","21.5778570635","33.1374363805","","ALP","50.6744954158","NXT/SA BEST","48.7129704774"
"SCHUBERT","","15.4825541012","39.8987669068","29.0767788945","7.35955237166","8.18234772585","","21.1613475325","43.6458327149","35.1928197526","","LIB","50.1647501177","NXT/SA BEST","50.1979401177"
"STUART","","17.8071479824","37.1473298986","32.7411330253","4.11856212279","8.18582697093","","21.88269179","40.0182969861","38.0990112239","","LIB","46.2419121226","NXT/SA BEST","54.0586694484"
"TAYLOR","","37.46637328","19.9885800315","24.0906879237","5.20867196454","13.2456868003","","45.1733283459","24.1152978488","30.7113738052","","ALP","51.7451377328","NXT/SA BEST","47.6527084721"
"TORRENS","","26.6880635147","29.7150161107","28.4892606999","8.88845532242","6.21920435233","","33.8511319353","32.5690321945","33.5798358702","","ALP","42.2781407075","NXT/SA BEST","57.2070245452"
"UNLEY","","16.590874826","43.7960035895","21.546654683","14.558773291","3.50769361063","","27.1323651015","46.1115890571","26.7560458413","","ALP","43.3740676674","LIB","57.1178824166"
"WAITE","","15.0379896787","39.4433001345","26.89994266","14.320365888","4.29840163883","","24.3609312517","41.8938977754","33.7451709729","","LIB","48.2948280425","NXT/SA BEST","52.117364987"
"WEST TORRENS","","30.5479330659","27.8845134361","24.7023281325","12.0536018841","4.8116234814","","40.2217364462","30.038787294","29.7394762598","","ALP","58.9575048498","LIB","41.5358589107"
"WRIGHT","","29.1065669959","27.1422184533","27.9810823138","7.29931269762","8.47081953943","","36.2615675223","30.3202409656","33.4181915121","","ALP","44.5290562484","NXT/SA BEST","55.4709437516"
"0","","0","0","0","0","0","","0","0","0","","0","0","0","0"
"0","","0","0","0","0","0","","0","0","0","","0","0","0","0"
"seats","ALP","14","LIB","7","NXT/SA BEST","22","IND/OTHER","4"
